fcstDate	fcstTime	category	fcstValue
20251109	2100	TMP	10
20251109	2100	UUU	5.8
20251109	2100	VVV	-4
20251109	2100	VEC	305
20251109	2100	WSD	7
20251109	2100	SKY	1
20251109	2100	PTY	0
20251109	2100	POP	0
20251109	2100	WAV	-999
20251109	2100	PCP	강수없음
20251109	2100	REH	75
20251109	2100	SNO	적설없음
20251109	2200	TMP	10
20251109	2200	UUU	4.9
20251109	2200	VVV	-4
20251109	2200	VEC	309
20251109	2200	WSD	6.3
20251109	2200	SKY	1
20251109	2200	PTY	0
20251109	2200	POP	0
20251109	2200	WAV	-999
20251109	2200	PCP	강수없음
20251109	2200	REH	75
20251109	2200	SNO	적설없음
20251109	2300	TMP	9
20251109	2300	UUU	4.1
20251109	2300	VVV	-4
20251109	2300	VEC	314
20251109	2300	WSD	5.7
20251109	2300	SKY	1
20251109	2300	PTY	0
20251109	2300	POP	0
20251109	2300	WAV	-999
20251109	2300	PCP	강수없음
20251109	2300	REH	80
20251109	2300	SNO	적설없음
20251110	0000	TMP	8
20251110	0000	UUU	3.8
20251110	0000	VVV	-4.3
20251110	0000	VEC	319
20251110	0000	WSD	5.7
20251110	0000	SKY	1
20251110	0000	PTY	0
20251110	0000	POP	0
20251110	0000	WAV	-999
20251110	0000	PCP	강수없음
20251110	0000	REH	75
20251110	0000	SNO	적설없음
20251110	0100	TMP	8
20251110	0100	UUU	3.6
20251110	0100	VVV	-4.9
20251110	0100	VEC	324
20251110	0100	WSD	6.1
20251110	0100	SKY	1
20251110	0100	PTY	0
20251110	0100	POP	0
20251110	0100	WAV	-999
20251110	0100	PCP	강수없음
20251110	0100	REH	70
20251110	0100	SNO	적설없음
20251110	0200	TMP	7
20251110	0200	UUU	3.2
20251110	0200	VVV	-4.8
20251110	0200	VEC	326
20251110	0200	WSD	5.8
20251110	0200	SKY	1
20251110	0200	PTY	0
20251110	0200	POP	0
20251110	0200	WAV	-999
20251110	0200	PCP	강수없음
20251110	0200	REH	70
20251110	0200	SNO	적설없음
20251110	0300	TMP	6
20251110	0300	UUU	2.8
20251110	0300	VVV	-3.6
20251110	0300	VEC	322
20251110	0300	WSD	4.6
20251110	0300	SKY	1
20251110	0300	PTY	0
20251110	0300	POP	0
20251110	0300	WAV	-999
20251110	0300	PCP	강수없음
20251110	0300	REH	70
20251110	0300	SNO	적설없음
20251110	0400	TMP	6
20251110	0400	UUU	2.3
20251110	0400	VVV	-3.1
20251110	0400	VEC	323
20251110	0400	WSD	3.9
20251110	0400	SKY	1
20251110	0400	PTY	0
20251110	0400	POP	0
20251110	0400	WAV	-999
20251110	0400	PCP	강수없음
20251110	0400	REH	70
20251110	0400	SNO	적설없음
20251110	0500	TMP	5
20251110	0500	UUU	1.9
20251110	0500	VVV	-2.7
20251110	0500	VEC	325
20251110	0500	WSD	3.3
20251110	0500	SKY	1
20251110	0500	PTY	0
20251110	0500	POP	0
20251110	0500	WAV	-999
20251110	0500	PCP	강수없음
20251110	0500	REH	60
20251110	0500	SNO	적설없음
20251110	0600	TMP	5
20251110	0600	UUU	1.1
20251110	0600	VVV	-2.1
20251110	0600	VEC	332
20251110	0600	WSD	2.4
20251110	0600	SKY	1
20251110	0600	PTY	0
20251110	0600	POP	0
20251110	0600	WAV	-999
20251110	0600	PCP	강수없음
20251110	0600	REH	55
20251110	0600	SNO	적설없음
20251110	0600	TMN	3.0
20251110	0700	TMP	5
20251110	0700	UUU	2.6
20251110	0700	VVV	-2.5
20251110	0700	VEC	314
20251110	0700	WSD	3.6
20251110	0700	SKY	1
20251110	0700	PTY	0
20251110	0700	POP	0
20251110	0700	WAV	-999
20251110	0700	PCP	강수없음
20251110	0700	REH	55
20251110	0700	SNO	적설없음
20251110	0800	TMP	5
20251110	0800	UUU	2.5
20251110	0800	VVV	-3.7
20251110	0800	VEC	326
20251110	0800	WSD	4.5
20251110	0800	SKY	1
20251110	0800	PTY	0
20251110	0800	POP	0
20251110	0800	WAV	-999
20251110	0800	PCP	강수없음
20251110	0800	REH	50
20251110	0800	SNO	적설없음
20251110	0900	TMP	6
20251110	0900	UUU	2.5
20251110	0900	VVV	-4.8
20251110	0900	VEC	332
20251110	0900	WSD	5.4
20251110	0900	SKY	1
20251110	0900	PTY	0
20251110	0900	POP	0
20251110	0900	WAV	-999
20251110	0900	PCP	강수없음
20251110	0900	REH	45
20251110	0900	SNO	적설없음
20251110	1000	TMP	7
20251110	1000	UUU	3.6
20251110	1000	VVV	-5.4
20251110	1000	VEC	326
20251110	1000	WSD	6.5
20251110	1000	SKY	1
20251110	1000	PTY	0
20251110	1000	POP	0
20251110	1000	WAV	-999
20251110	1000	PCP	강수없음
20251110	1000	REH	35
20251110	1000	SNO	적설없음
20251110	1100	TMP	8
20251110	1100	UUU	4.2
20251110	1100	VVV	-5.2
20251110	1100	VEC	321
20251110	1100	WSD	6.7
20251110	1100	SKY	1
20251110	1100	PTY	0
20251110	1100	POP	0
20251110	1100	WAV	-999
